case,implementation,bytes,median_ns,min_ns,max_ns,MiB/s
filelog_decode/ascii/1,prototype,65526,2064040.555,2031694.663,2091952.173,30.276
filelog_decode/ascii/1,candidate,65526,1416487.692,1271332.819,1421574.620,44.116
filelog_decode/ascii/17,prototype,65526,1132591.745,1131583.772,1176370.265,55.175
filelog_decode/ascii/17,candidate,65526,707201.273,691700.943,766582.195,88.363
filelog_decode/ascii/3,prototype,65526,1420888.975,1402612.196,1476742.888,43.980
filelog_decode/ascii/3,candidate,65526,899109.830,864131.340,902588.679,69.503
filelog_decode/ascii/65536,prototype,65526,1093838.277,1077014.858,1129118.942,57.130
filelog_decode/ascii/65536,candidate,65526,673807.254,666897.202,711106.169,92.742
filelog_decode/bad_ascii_Fail/1,prototype,4,135.348,132.386,138.283,28.184
filelog_decode/bad_ascii_Fail/1,candidate,4,118.029,113.578,118.389,32.320
filelog_decode/bad_ascii_Fail/17,prototype,4,91.743,91.586,94.868,41.580
filelog_decode/bad_ascii_Fail/17,candidate,4,81.524,80.262,82.307,46.792
filelog_decode/bad_ascii_Fail/3,prototype,4,110.040,104.852,110.626,34.667
filelog_decode/bad_ascii_Fail/3,candidate,4,90.149,89.553,94.260,42.315
filelog_decode/bad_ascii_Fail/65536,prototype,4,93.039,91.513,96.406,41.001
filelog_decode/bad_ascii_Fail/65536,candidate,4,79.731,78.791,81.741,47.845
filelog_decode/bad_ascii_PreserveRaw/1,prototype,65536,2096071.986,2051246.991,2750542.470,29.818
filelog_decode/bad_ascii_PreserveRaw/1,candidate,65536,1560909.687,1538703.947,1632197.619,40.041
filelog_decode/bad_ascii_PreserveRaw/17,prototype,65536,1180017.392,1124222.773,1618691.928,52.965
filelog_decode/bad_ascii_PreserveRaw/17,candidate,65536,855060.748,831022.301,905825.393,73.094
filelog_decode/bad_ascii_PreserveRaw/3,prototype,65536,1428295.949,1401107.878,1847732.477,43.758
filelog_decode/bad_ascii_PreserveRaw/3,candidate,65536,1052688.101,1035029.091,1076142.998,59.372
filelog_decode/bad_ascii_PreserveRaw/65536,prototype,65536,1098619.108,1089155.465,1407494.879,56.890
filelog_decode/bad_ascii_PreserveRaw/65536,candidate,65536,805869.325,787721.235,817592.966,77.556
filelog_decode/bad_ascii_Replace/1,prototype,65536,2097754.763,2025654.980,2264770.497,29.794
filelog_decode/bad_ascii_Replace/1,candidate,65536,1558965.903,1542923.658,1613976.727,40.091
filelog_decode/bad_ascii_Replace/17,prototype,65536,1148755.546,1133355.080,1160518.306,54.407
filelog_decode/bad_ascii_Replace/17,candidate,65536,868144.709,837182.819,880415.790,71.993
filelog_decode/bad_ascii_Replace/3,prototype,65536,1429366.388,1387895.082,1478699.007,43.726
filelog_decode/bad_ascii_Replace/3,candidate,65536,1040349.844,1031844.579,1073770.032,60.076
filelog_decode/bad_ascii_Replace/65536,prototype,65536,1094114.288,1079199.682,1096447.294,57.124
filelog_decode/bad_ascii_Replace/65536,candidate,65536,819489.968,789936.371,878247.178,76.267
filelog_decode/bad_utf16be_Fail/1,prototype,10,269.641,262.751,269.688,35.368
filelog_decode/bad_utf16be_Fail/1,candidate,10,232.097,230.625,236.560,41.090
filelog_decode/bad_utf16be_Fail/17,prototype,10,116.716,115.764,117.502,81.709
filelog_decode/bad_utf16be_Fail/17,candidate,10,113.146,112.978,114.234,84.287
filelog_decode/bad_utf16be_Fail/3,prototype,10,170.168,168.818,171.423,56.043
filelog_decode/bad_utf16be_Fail/3,candidate,10,156.155,152.561,157.238,61.072
filelog_decode/bad_utf16be_Fail/65536,prototype,10,116.272,114.225,116.933,82.021
filelog_decode/bad_utf16be_Fail/65536,candidate,10,116.185,115.126,117.495,82.082
filelog_decode/bad_utf16be_PreserveRaw/1,prototype,65534,1809938.347,1795949.241,1863106.218,34.531
filelog_decode/bad_utf16be_PreserveRaw/1,candidate,65534,1583733.222,1572730.488,1737789.465,39.463
filelog_decode/bad_utf16be_PreserveRaw/17,prototype,65534,784543.951,784017.404,808757.385,79.662
filelog_decode/bad_utf16be_PreserveRaw/17,candidate,65534,739836.167,731679.568,826023.104,84.476
filelog_decode/bad_utf16be_PreserveRaw/3,prototype,65534,1093190.899,1091414.189,1130388.773,57.170
filelog_decode/bad_utf16be_PreserveRaw/3,candidate,65534,979503.984,979039.897,1113436.362,63.806
